PCAdata00,PCAdata01,PCAdata02,PCAdata03,Cluster ID
numeric,numeric,numeric,numeric,numeric
151147.6583573741,-9054.187846907385,-11.569343303199386,-1.626850671510329,2.0
148514.71165147907,-9903.156955258084,-10.52205323269099,-1.6139580309339694,2.0
145317.80202860356,-10898.559762609584,-9.466541902893743,-1.6005970710281066,2.0
142282.76061333704,-11767.77349231398,-8.417951893359135,-1.587583185902551,2.0
139821.91501041633,-12344.371144498684,-7.385511732424375,-1.5754087829538137,2.0
138456.75013023437,-12428.809520559065,-6.380299934095585,-1.564668976195076,2.0
138080.22503460926,-12041.854880431209,-5.401136975280168,-1.5552926342068578,2.0
138337.50382758136,-11301.729417019109,-4.441436115291898,-1.5469191767719133,2.0
139058.07810715158,-10281.562364089237,-3.497147649421614,-1.5393340966369087,2.0
139840.37666145372,-9148.328455402312,-2.5590187814509506,-1.5320454773322525,2.0
140441.2358653865,-8025.378618725852,-1.6202410574149972,-1.5246992449063757,1.0
140663.75458193422,-7047.716343595435,-0.6733977404025868,-1.5169199453534172,1.0
140856.49501768255,-6304.304476854602,0.28615751229876896,-1.508543542356958,1.0
140959.37542359083,-5715.2920109098195,1.2541268639147058,-1.499761333517415,1.0
140975.0099073122,-5211.086083864851,2.2267368984857643,-1.490749624366856,1.0
141116.7348334009,-5097.072673275623,3.220432753025541,-1.4807739410733605,1.0
141590.2177849894,-5708.7407430752355,4.253295082612672,-1.4690224076899847,1.0
142180.4785198828,-6612.324809485799,5.301921104139463,-1.4565536056715032,1.0
142522.64315178496,-7053.310429015255,6.325598215868817,-1.4452104688535243,1.0
142848.47338853616,-7347.690497927062,7.341337189726458,-1.4342349331893656,1.0
142049.08968948125,-7436.209937879874,8.346485070527205,-1.4235834363349475,1.0
143111.1586706806,-7414.244450689323,9.344706341381087,-1.4135355893121797,1.0
143918.90988114837,-7665.298140969484,10.357854062274875,-1.402753536675596,1.0
144758.4571044197,-7898.075793145632,11.369995155098486,-1.3920232070265355,1.0
145589.58749955462,-7905.442361178546,12.369922672745771,-1.3818609874421068,1.0
104238.43263122893,-24693.280721324438,-10.708316233097301,-0.5792093395032898,2.0
50208.535127390496,-42466.15268278361,-8.717809302542719,-0.5145936713943581,2.0
-35806.26900092483,-70313.66433539188,-6.165114406510488,-0.4189456916890424,2.0
