Year,New HIV Infections - Adults 15+,New HIV Infections - Females  15 +,New HIV Infections - Male Adults 15+,Country
numeric,numeric,numeric,numeric,numeric
2013,17252,9569,7683,9
2014,17243,9542,7701,9
1990,16554,9150,7404,10
1991,21865,12171,9695,10
1992,27020,15127,11893,10
1993,31368,17583,13785,10
1994,34281,19224,15057,10
1995,35445,19809,15635,10
1996,34971,19478,15494,10
1997,33208,18438,14770,10
1998,30698,16948,13751,10
1999,27953,15358,12594,10
2000,25230,13809,11421,10
2001,22761,12420,10341,10
2002,20587,11208,9380,10
2003,18710,10168,8543,10
2004,17107,9285,7823,10
2005,15773,8553,7220,10
2006,14898,8074,6824,10
2007,14382,7791,6590,10
2008,14167,7673,6494,10
2009,13835,7492,6343,10
2010,13592,7360,6232,10
2011,13720,7429,6291,10
2012,13987,7573,6414,10
2013,13357,7232,6125,10
2014,13094,7089,6004,10
1990,5133,2905,2228,11
1991,6095,3484,2611,11
1992,7313,4207,3107,11
1993,8525,4934,3592,11
1994,9797,5686,4111,11
1995,11198,6516,4681,11
1996,12490,7287,5202,11
1997,13746,8017,5729,11
1998,14844,8654,6190,11
1999,15796,9206,6591,11
2000,16515,9621,6894,11
2001,17631,10268,7363,11
2002,18486,10762,7724,11
2003,19059,11092,7967,11
2004,19662,11438,8223,11
2005,20282,11796,8487,11
2006,20584,11967,8617,11
2007,21167,12301,8865,11
2008,21319,12385,8934,11
2009,21706,12605,9101,11
2010,21721,12609,9112,11
2011,21774,12634,9140,11
2012,21779,12631,9148,11
2013,21734,12599,9135,11
2014,21357,12374,,11
